Name,Conference,Wins,Losses,Win Pct,GB,PPG,PAPG,PD
Mavericks,West,50,32,0.61,7.0,117.85,115.65,2.21
Pelicans,West,49,33,0.598,8.0,115.07,110.66,4.41
Rockets,West,41,41,0.5,16.0,114.33,113.21,1.12
Grizzlies,West,27,55,0.329,30.0,105.82,112.82,-7.0
Spurs,West,22,60,0.268,35.0,112.1,118.59,-6.49
Thunder,West,57,25,0.695,0.0,120.09,112.67,7.41
Nuggets,West,57,25,0.695,0.0,114.85,109.6,5.26
Timberwolves,West,56,26,0.683,1.0,112.98,106.52,6.45
Jazz,West,31,51,0.378,26.0,115.66,120.55,-4.89
Trail Blazers,West,21,61,0.256,36.0,106.37,115.39,-9.02
Clippers,West,51,31,0.622,6.0,115.62,112.34,3.28
Suns,West,49,33,0.598,8.0,116.24,113.18,3.06
Lakers,West,47,35,0.573,10.0,118.04,117.44,0.6
Kings,West,46,36,0.561,11.0,116.56,114.82,1.74
Warriors,West,46,36,0.561,11.0,117.77,115.16,2.61
Magic,East,47,35,0.573,17.0,110.46,108.44,2.02
Heat,East,46,36,0.561,18.0,110.15,108.39,1.76
Hawks,East,36,46,0.439,28.0,118.33,120.51,-2.18
Hornets,East,21,61,0.256,43.0,106.59,116.83,-10.24
Wizards,East,15,67,0.183,49.0,113.74,123.04,-9.29
Celtics,East,64,18,0.78,0.0,120.57,109.23,11.34
Knicks,East,50,32,0.61,14.0,112.79,108.21,4.59
76ers,East,47,35,0.573,17.0,114.6,111.55,3.05
Nets,East,32,50,0.39,32.0,110.37,113.26,-2.89
Raptors,East,25,57,0.305,39.0,112.35,118.79,-6.44
Bucks,East,49,33,0.598,15.0,118.98,116.35,2.62
Cavaliers,East,48,34,0.585,16.0,112.63,110.22,2.41
Pacers,East,47,35,0.573,17.0,123.29,120.24,3.05
Bulls,East,39,43,0.476,25.0,112.27,113.71,-1.44
Pistons,East,14,68,0.171,50.0,109.88,118.99,-9.11
